Service_Name,Service_Category
Internet_Leased_Line,Connectivity
Dedicated_Internet,Connectivity
MPLS_VPN,Connectivity
SD_WAN,Connectivity
Broadband,Connectivity
International_Private_Line,Connectivity
Airtel_Cloud,Cloud
Multi_Cloud_Connect,Cloud
Cloud_Backup,Cloud
Disaster_Recovery,Cloud
Managed_Firewall,Security
DDoS_Protection,Security
Network_Security,Security
Secure_Internet,Security
Zero_Trust,Security
Business_Voice,Communication
CPaaS,Communication
Enterprise_Messaging,Communication
Collaboration_Services,Communication
IoT_Services,IoT
